Archetype,House number,WFH Type,Operation,Solar,Grid Import,Total Load
Detached,17,T1,hybrid_bidirectional,worst,4389.92,9178.42
Detached,17,T1,hybrid_bidirectional,best,4291.75,9161.89
Detached,18,T1,safe_unidirectional,worst,4387.15,5070.87
Detached,18,T1,safe_unidirectional,best,4325.12,5070.87
Detached,18,T1,hybrid_bidirectional,worst,3496.46,7193.93
Detached,18,T1,hybrid_bidirectional,best,3418.21,7176.17
Detached,19,T1,safe_unidirectional,worst,5336.54,5970.9
Detached,19,T1,safe_unidirectional,best,5262.6,5970.9
Detached,19,T1,hybrid_bidirectional,worst,3948.35,8171.17
Detached,19,T1,hybrid_bidirectional,best,3790.75,8120.85
Detached,20,T1,safe_unidirectional,worst,5329.7,6008.37
Detached,20,T1,safe_unidirectional,best,5241.94,6008.37
Detached,20,T1,hybrid_bidirectional,worst,4191.48,8463.45
Detached,20,T1,hybrid_bidirectional,best,4076.45,8451.36
Detached,21,T1,safe_unidirectional,worst,4901.11,5587.3
Detached,21,T1,safe_unidirectional,best,4825.74,5587.3
Detached,21,T1,hybrid_bidirectional,worst,3767.35,7818.4
Detached,21,T1,hybrid_bidirectional,best,3604.65,7749.58
Detached,22,T1,safe_unidirectional,worst,4747.41,5317.54
Detached,22,T1,safe_unidirectional,best,4651.33,5317.54
Detached,22,T1,hybrid_bidirectional,worst,3684.67,7567.14
Detached,22,T1,hybrid_bidirectional,best,3583.55,7577.99
Detached,23,T1,safe_unidirectional,worst,5750.03,6421.26
Detached,23,T1,safe_unidirectional,best,5684.57,6421.26
Detached,23,T1,hybrid_bidirectional,worst,4536.82,9156.79
Detached,23,T1,hybrid_bidirectional,best,4478.05,9171.59
Detached,24,T1,safe_unidirectional,worst,5291.51,5998.51
Detached,24,T1,safe_unidirectional,best,5199.8,5998.51
Detached,24,T1,hybrid_bidirectional,worst,4310.91,8525.11
Detached,24,T1,hybrid_bidirectional,best,4201.53,8540.9
Detached,25,T1,safe_unidirectional,worst,5435.11,6087.95
Detached,25,T1,safe_unidirectional,best,5351.06,6087.95
Detached,25,T1,hybrid_bidirectional,worst,3996.9,8334.59
Detached,25,T1,hybrid_bidirectional,best,3793.18,8218.17
Detached,26,T1,safe_unidirectional,worst,4992.48,5631.85
Detached,26,T1,safe_unidirectional,best,4904.91,5631.85
Detached,26,T1,hybrid_bidirectional,worst,3909.19,8015.88
Detached,26,T1,hybrid_bidirectional,best,3795.52,7991.95
Detached,27,T1,safe_unidirectional,worst,5391.13,6074.93
Detached,27,T1,safe_unidirectional,best,5305.92,6074.93
Detached,27,T1,hybrid_bidirectional,worst,4247.92,8502.87
Detached,27,T1,hybrid_bidirectional,best,3976.08,8314.91
Detached,28,T1,safe_unidirectional,worst,5757.07,6359.17
Detached,28,T1,safe_unidirectional,best,5677.62,6359.17
Detached,28,T1,hybrid_bidirectional,worst,4525.87,9107.04
Detached,28,T1,hybrid_bidirectional,best,4398.39,9074.97
Detached,29,T1,safe_unidirectional,worst,5883.32,6539.25
Detached,29,T1,safe_unidirectional,best,5744.24,6539.25
Detached,29,T1,hybrid_bidirectional,worst,4498.32,8947.7
Detached,29,T1,hybrid_bidirectional,best,4324.16,8892.45
Detached,30,T1,safe_unidirectional,worst,5096.78,5733.69
Detached,30,T1,safe_unidirectional,best,5035.39,5733.69
Detached,30,T1,hybrid_bidirectional,worst,3959.47,8164.1
Detached,30,T1,hybrid_bidirectional,best,3850.01,8119.7
Detached,31,T1,safe_unidirectional,worst,5521.69,6153.51
Detached,31,T1,safe_unidirectional,best,5437.46,6153.51
Detached,31,T1,hybrid_bidirectional,worst,3871.68,8448.99
Detached,31,T1,hybrid_bidirectional,best,3791.57,8465.52
Detached,32,T1,safe_unidirectional,worst,5099.83,5796.65
Detached,32,T1,safe_unidirectional,best,4997.25,5796.65
Detached,32,T1,hybrid_bidirectional,worst,4136.91,8133.08
Detached,32,T1,hybrid_bidirectional,best,4023.71,8130.37
Detached,33,T1,safe_unidirectional,worst,5553.23,6161.82
Detached,33,T1,safe_unidirectional,best,5474.41,6161.82
Detached,33,T1,hybrid_bidirectional,worst,4265.08,8779.69
Detached,33,T1,hybrid_bidirectional,best,4262.26,8858.87
Detached,34,T1,safe_unidirectional,worst,5536.17,6357.07
Detached,34,T1,safe_unidirectional,best,5433.79,6357.07
Detached,34,T1,hybrid_bidirectional,worst,4524.85,8821.76
Detached,34,T1,hybrid_bidirectional,best,4294.71,8705.58
Detached,35,T1,safe_unidirectional,worst,4894.97,5427.63
Detached,35,T1,safe_unidirectional,best,4829.38,5427.63
Detached,35,T1,hybrid_bidirectional,worst,3643.09,7718.91
Detached,35,T1,hybrid_bidirectional,best,3459.75,7592.87
Detached,36,T1,safe_unidirectional,worst,5081.29,5675.0
Detached,36,T1,safe_unidirectional,best,4992.12,5675.0
Detached,36,T1,hybrid_bidirectional,worst,3871.68,7935.45
Detached,36,T1,hybrid_bidirectional,best,3635.84,7813.85
Detached,37,T1,safe_unidirectional,worst,6247.33,6998.95
Detached,37,T1,safe_unidirectional,best,6123.66,6998.95
Detached,37,T1,hybrid_bidirectional,worst,4903.99,9733.0
Detached,37,T1,hybrid_bidirectional,best,4936.66,9845.73
Detached,38,T1,safe_unidirectional,worst,5138.27,5781.93
Detached,38,T1,safe_unidirectional,best,5075.76,5781.93
Detached,38,T1,hybrid_bidirectional,worst,3843.48,7949.63
Detached,38,T1,hybrid_bidirectional,best,3779.02,7986.88
Detached,39,T1,safe_unidirectional,worst,5075.89,5736.21
Detached,39,T1,safe_unidirectional,best,4993.81,5736.21
Detached,39,T1,hybrid_bidirectional,worst,3661.87,7971.01
Detached,39,T1,hybrid_bidirectional,best,3490.26,7874.31
Detached,40,T1,safe_unidirectional,worst,4819.88,5451.07
Detached,40,T1,safe_unidirectional,best,4721.02,5451.07
Detached,40,T1,hybrid_bidirectional,worst,3679.02,7675.27
Detached,40,T1,hybrid_bidirectional,best,3658.08,7734.96
Detached,41,T1,safe_unidirectional,worst,5263.92,5885.27
Detached,41,T1,safe_unidirectional,best,5176.02,5885.27
Detached,41,T1,hybrid_bidirectional,worst,3998.13,8455.29
Detached,41,T1,hybrid_bidirectional,best,3761.87,8335.41
Semi_Detached,1,T1,safe_unidirectional,worst,5504.87,6138.09
Semi_Detached,1,T1,safe_unidirectional,best,5439.59,6138.09
Semi_Detached,1,T1,hybrid_bidirectional,worst,4212.51,8553.21
Semi_Detached,1,T1,hybrid_bidirectional,best,4134.28,8562.58
Semi_Detached,2,T1,safe_unidirectional,worst,5198.77,5894.85
Semi_Detached,2,T1,safe_unidirectional,best,5083.52,5894.85
Semi_Detached,2,T1,hybrid_bidirectional,worst,4052.34,8257.67
Semi_Detached,2,T1,hybrid_bidirectional,best,3963.65,8277.16
Semi_Detached,3,T1,safe_unidirectional,worst,5661.88,6347.39
Semi_Detached,3,T1,safe_unidirectional,best,5583.6,6347.39
Semi_Detached,3,T1,hybrid_bidirectional,worst,4015.61,8625.35
Semi_Detached,3,T1,hybrid_bidirectional,best,4099.98,8809.12
Semi_Detached,4,T1,safe_unidirectional,worst,4920.64,5502.52
Semi_Detached,4,T1,safe_unidirectional,best,4839.4,5502.52
Semi_Detached,4,T1,hybrid_bidirectional,worst,3783.13,7754.58
Semi_Detached,4,T1,hybrid_bidirectional,best,3682.23,7763.22
Semi_Detached,5,T1,safe_unidirectional,worst,5137.29,5816.22
Semi_Detached,5,T1,safe_unidirectional,best,5046.65,5816.22
Semi_Detached,5,T1,hybrid_bidirectional,worst,4081.28,8231.83
Semi_Detached,5,T1,hybrid_bidirectional,best,3901.32,8177.81
Semi_Detached,6,T1,safe_unidirectional,worst,5386.96,6111.07
Semi_Detached,6,T1,safe_unidirectional,best,5267.77,6111.07
Semi_Detached,6,T1,hybrid_bidirectional,worst,4178.27,8622.63
